epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,157.299,0.62851,1.34868,1.17873,0.85823,0.84715,0.929,0.7852,0.65492,2.23392,1.41712,0.000547837,0.000547837,0.000547837
43,161.033,0.66229,1.26779,1.18324,0.85823,0.84715,0.929,0.7852,0.65492,2.23392,1.41712,0.000551689,0.000551689,0.000551689
44,164.829,0.55922,1.36303,1.08747,0.94211,0.7,0.84328,0.64426,0.69241,2.40927,1.36244,0.000555101,0.000555101,0.000555101
45,168.611,0.61023,1.2463,1.09425,0.94211,0.7,0.84328,0.64426,0.69241,2.40927,1.36244,0.000558073,0.000558073,0.000558073
46,172.356,0.65092,1.34877,1.12459,0.9147,0.7,0.77589,0.6805,0.65338,2.35453,1.25107,0.000560605,0.000560605,0.000560605
47,176.091,0.61375,1.37803,1.05711,0.9147,0.7,0.77589,0.6805,0.65338,2.35453,1.25107,0.000562697,0.000562697,0.000562697
48,179.786,0.68004,1.49713,1.17614,0.89531,0.77799,0.9466,0.83659,0.48625,2.06447,1.04748,0.000564349,0.000564349,0.000564349
49,183.541,0.56002,1.18528,1.04201,0.89531,0.77799,0.9466,0.83659,0.48625,2.06447,1.04748,0.000565561,0.000565561,0.000565561
50,187.361,0.68775,1.51453,1.12744,0.95992,0.95846,0.995,0.89767,0.47186,1.74868,1.03864,0.000566333,0.000566333,0.000566333
51,191.18,0.56516,1.19288,1.11054,0.95992,0.95846,0.995,0.89767,0.47186,1.74868,1.03864,0.000561055,0.000561055,0.000561055
52,195.067,0.62588,1.18835,1.13419,0.95438,0.97978,0.995,0.90787,0.50571,1.81454,1.06147,0.000550056,0.000550056,0.000550056
53,198.866,0.49074,1.10752,1.03258,0.95438,0.97978,0.995,0.90787,0.50571,1.81454,1.06147,0.000539057,0.000539057,0.000539057
54,202.657,0.63991,1.23067,1.08873,0.96203,0.97402,0.995,0.88794,0.5143,1.82704,1.06946,0.000528058,0.000528058,0.000528058
55,206.3,0.56314,1.1053,1.05078,0.96203,0.97402,0.995,0.88794,0.5143,1.82704,1.06946,0.000517059,0.000517059,0.000517059
56,209.942,0.53517,1.05326,1.04953,0.95525,0.97908,0.995,0.89293,0.52084,1.69334,1.08557,0.00050606,0.00050606,0.00050606
57,213.591,0.58419,1.15507,1.13821,0.95525,0.97908,0.995,0.89293,0.52084,1.69334,1.08557,0.000495062,0.000495062,0.000495062
58,217.287,0.55522,1.17156,1.08039,0.95077,0.9855,0.995,0.87968,0.56697,1.75821,1.1503,0.000484063,0.000484063,0.000484063
59,220.895,0.60087,1.18494,1.11741,0.95077,0.9855,0.995,0.87968,0.56697,1.75821,1.1503,0.000473064,0.000473064,0.000473064
60,224.53,0.62222,1.16819,1.08697,0.95372,0.96655,0.995,0.89712,0.51084,1.6238,1.09062,0.000462065,0.000462065,0.000462065
61,228.152,0.55716,1.05371,1.06801,0.95372,0.96655,0.995,0.89712,0.51084,1.6238,1.09062,0.000451066,0.000451066,0.000451066
62,231.866,0.49511,1.04395,0.99601,0.95098,0.9597,0.995,0.9336,0.38226,1.42071,0.97255,0.000440067,0.000440067,0.000440067
63,235.469,0.48754,1.00902,1.05213,0.95098,0.9597,0.995,0.9336,0.38226,1.42071,0.97255,0.000429068,0.000429068,0.000429068
64,239.162,0.48745,1.05279,1.00767,0.94072,0.97074,0.995,0.94856,0.37419,1.42866,0.95164,0.000418069,0.000418069,0.000418069
65,242.78,0.54703,1.10048,1.06658,0.94072,0.97074,0.995,0.94856,0.37419,1.42866,0.95164,0.00040707,0.00040707,0.00040707
66,246.45,0.53835,1.04051,1.04372,0.9234,0.96511,0.995,0.92256,0.43366,1.45231,0.99151,0.000396071,0.000396071,0.000396071
67,250.109,0.55989,1.09327,1.04579,0.9234,0.96511,0.995,0.92256,0.43366,1.45231,0.99151,0.000385073,0.000385073,0.000385073
68,253.772,0.54443,1.14459,1.07098,0.91654,0.96764,0.995,0.93116,0.42945,1.50907,0.98469,0.000374074,0.000374074,0.000374074
69,257.396,0.54256,1.05729,1.07273,0.91654,0.96764,0.995,0.93116,0.42945,1.50907,0.98469,0.000363075,0.000363075,0.000363075
70,261.321,0.48877,0.92225,1.01012,0.93228,0.98532,0.995,0.93945,0.38091,1.49218,0.9556,0.000352076,0.000352076,0.000352076
71,265,0.50659,1.08753,1.07948,0.93228,0.98532,0.995,0.93945,0.38091,1.49218,0.9556,0.000341077,0.000341077,0.000341077
72,268.627,0.45345,0.97673,0.96405,0.95389,0.98992,0.995,0.9473,0.3464,1.40193,0.9259,0.000330078,0.000330078,0.000330078
73,272.276,0.54846,1.00753,1.1093,0.95389,0.98992,0.995,0.9473,0.3464,1.40193,0.9259,0.000319079,0.000319079,0.000319079
74,275.943,0.60218,1.32808,1.13781,0.95819,0.99347,0.995,0.96901,0.33197,1.32913,0.91371,0.00030808,0.00030808,0.00030808
75,279.541,0.50208,1.10202,1.04689,0.95819,0.99347,0.995,0.96901,0.33197,1.32913,0.91371,0.000297081,0.000297081,0.000297081
76,283.238,0.53534,1.04694,1.06523,0.96685,1,0.995,0.96901,0.34666,1.30765,0.92249,0.000286083,0.000286083,0.000286083
77,286.875,0.48762,1.03403,1.04686,0.96685,1,0.995,0.96901,0.34666,1.30765,0.92249,0.000275084,0.000275084,0.000275084
78,290.609,0.46395,1.0273,1.03202,0.9669,0.99179,0.995,0.93912,0.37767,1.39151,0.95013,0.000264085,0.000264085,0.000264085
79,294.256,0.54365,1.06827,1.03685,0.9669,0.99179,0.995,0.93912,0.37767,1.39151,0.95013,0.000253086,0.000253086,0.000253086
80,297.936,0.50849,0.9858,0.97688,0.96209,0.99821,0.995,0.9192,0.39208,1.45418,0.95735,0.000242087,0.000242087,0.000242087
81,301.69,0.52586,1.11074,1.06899,0.96209,0.99821,0.995,0.9192,0.39208,1.45418,0.95735,0.000231088,0.000231088,0.000231088
82,305.391,0.54539,1.01426,1.06794,0.94369,0.98874,0.995,0.91925,0.39616,1.47437,0.94951,0.000220089,0.000220089,0.000220089
83,309.101,0.51583,1.03308,1.01746,0.94369,0.98874,0.995,0.91925,0.39616,1.47437,0.94951,0.00020909,0.00020909,0.00020909
84,312.926,0.43341,0.90831,0.95859,0.9438,0.95849,0.995,0.93417,0.38376,1.44689,0.9288,0.000198091,0.000198091,0.000198091
85,316.572,0.47983,1.09313,1.04518,0.9438,0.95849,0.995,0.93417,0.38376,1.44689,0.9288,0.000187092,0.000187092,0.000187092
86,320.377,0.46672,1.02082,1.04795,0.93897,0.94758,0.995,0.94515,0.36334,1.45461,0.91581,0.000176094,0.000176094,0.000176094
87,324.148,0.54147,0.99036,1.09097,0.93897,0.94758,0.995,0.94515,0.36334,1.45461,0.91581,0.000165095,0.000165095,0.000165095
88,327.926,0.41044,0.96476,0.95119,0.94124,0.94314,0.995,0.94855,0.34305,1.44803,0.91088,0.000154096,0.000154096,0.000154096
89,331.661,0.38746,0.91644,0.99728,0.94124,0.94314,0.995,0.94855,0.34305,1.44803,0.91088,0.000143097,0.000143097,0.000143097
90,335.555,0.45904,1.00183,1.02569,0.95078,0.94226,0.995,0.95854,0.33294,1.41357,0.90865,0.000132098,0.000132098,0.000132098
91,339.276,0.35655,1.47707,0.89682,0.95078,0.94226,0.995,0.95854,0.33294,1.41357,0.90865,0.000121099,0.000121099,0.000121099
92,343.035,0.40793,1.50754,1.0303,0.95473,0.94314,0.995,0.95854,0.32738,1.37125,0.90572,0.0001101,0.0001101,0.0001101
93,346.896,0.39479,1.42023,0.95753,0.95473,0.94314,0.995,0.95854,0.32738,1.37125,0.90572,9.91012e-05,9.91012e-05,9.91012e-05
94,350.681,0.37723,1.36316,1.00346,0.95905,0.94169,0.995,0.96353,0.31881,1.37121,0.89904,8.81023e-05,8.81023e-05,8.81023e-05
95,354.522,0.33725,1.26074,0.93006,0.95905,0.94169,0.995,0.96353,0.31881,1.37121,0.89904,7.71034e-05,7.71034e-05,7.71034e-05
96,358.376,0.30195,1.38856,0.87614,0.96128,0.94059,0.995,0.96353,0.31223,1.35504,0.89272,6.61045e-05,6.61045e-05,6.61045e-05
97,362.18,0.31466,1.28193,0.93056,0.96128,0.94059,0.995,0.96353,0.31223,1.35504,0.89272,5.51056e-05,5.51056e-05,5.51056e-05
98,366.102,0.31838,1.28587,0.92035,0.9606,0.94029,0.995,0.96353,0.30936,1.35159,0.88923,4.41067e-05,4.41067e-05,4.41067e-05
99,369.948,0.31705,1.27495,0.90437,0.9606,0.94029,0.995,0.96353,0.30936,1.35159,0.88923,3.31078e-05,3.31078e-05,3.31078e-05
100,373.757,0.35854,1.33755,0.96845,0.96087,0.94029,0.995,0.97344,0.30547,1.35253,0.88592,2.21089e-05,2.21089e-05,2.21089e-05
